,PLAYERS,RATING,match_week
32,Brian Kasirye,11.114025339968741,20171017
720,Denis Grachev,11.058601243635211,20171017
84,Therry Aquino,11.053013578563998,20171017
182,Shane Wilson,11.011995821964877,20171017
76,Batdavaa Munkhbat,11.002578026642457,20171017
1071,Yang Shen,11.001757552275889,20171017
1262,Qin Zheng,10.935342722014845,20171017
986,Matthew Lee,10.933680596063702,20171017
782,Stanislav Pukhov,10.875339027941578,20171017
157,Hemanth M.Gowda,10.847374655693812,20171017
847,John Wanyoike,10.839172918953796,20171017
382,Kestutis Navickas,10.769060866431932,20171017
1309,Nhat Nguyen,10.682570577463123,20171017
249,Søren Toft,10.675810661204867,20171017
413,Habeeb Temitope Bello,10.667276691499112,20171017
154,Yupeng Bai,10.652015620010465,20171017
868,Chong Yee Han,10.57384951247888,20171017
171,Ruttanapak Oupthong,10.566652650513838,20171017
396,Hin Shun Wong,10.526325816918844,20171017
690,Alexandr Kozyrev,10.485371041310083,20171017
953,Matteo Bellucci,10.389043976230099,20171017
1198,Dong Hoon Kim,10.346097150098224,20171017
1060,Chen Chun-Wei,10.204889973514499,20171017
525,Karnphop Atthaviroj,10.192851941287842,20171017
21,Jonathan Bing Tsan Lai,10.172020474210516,20171017
706,Bao Duc Duong,10.016533967586223,20171017
522,Mohamed Mostafa Kamel,9.903552953850232,20171017
438,Nelson Javier,9.84901952269997,20171017
1205,Datu Mohd Saffuan Nizam Sardik,9.819256127588911,20171017
1005,N. V. S. Vijetha,9.816163935267063,20171017
532,Sachin Rawat,9.560225437152624,20171017
959,Gergely Krausz,9.531569646937102,20171017
1207,Mek Narongrit,9.530424893345643,20171017
647,Alex Vlaar,9.497062915737871,20171017
1228,Abdelrahman Abdelhakim,9.443315859406503,20171017
1240,Aidil Sholeh Ali Sadikin,9.443065366185294,20171017
73,Timothy Lam,9.326917299918314,20171017
826,Koki Yamada,9.306769934865521,20171017
833,Karono Suwarno,9.300531595162603,20171017
262,Chet Vin Wong,9.256700325695586,20171017
848,Nathan Tang,9.237184376960307,20171017
281,Milan Dratva,9.180550336602415,20171017
58,Ivan Leon,9.131874069672387,20171017
471,Fabricio Farias,9.128302358928067,20171017
346,Gareth Henry,9.12321623610179,20171017
1349,Mikhail Lavrikov,9.083506547683601,20171017
754,Cesar Adonis Brito Gonzalez,9.063237290975465,20171017
465,Andi Fadel Muhammad,8.984118528068453,20171017
251,Raul Blondet Martinez,8.966500757156847,20171017
1065,Lu Guangzu,8.88689267905761,20171017
376,Soren Opti,8.878725822290171,20171017
304,Kevin Strobl,8.811428745205282,20171017
344,Henri Hurskainen,8.790303730757264,20171017
864,Le Duc Phat,8.709984627826454,20171017
1140,Shi Xuan Dominic Soh,8.701432532504151,20171017
164,Luke Couture,8.687867802006654,20171017
1051,Luis Armando Montoya Navarro,8.66920146593997,20171017
197,Timothy Chiu,8.65389181913697,20171017
345,Murat Sen,8.502399823039845,20171017
318,Felix Burestedt,8.500839616659217,20171017
978,Armando Gaitan,8.408715300684246,20171017
987,"Yu Leong, Alfred Lau",8.299048099874202,20171017
1270,Hock Lai Lee,8.277631894269277,20171017
9,Muhammad Lukman Hakim Mohd Ibrahim,8.257066132046052,20171017
730,Kentaro Hoshino,8.253339995360008,20171017
792,Naoki Yamazawa,8.222524990770271,20171017
277,Chan Yin Chak,8.13337413793283,20171017
1332,Chi Yu Jen,8.129319648626822,20171017
674,Duc Phat Le,8.120611701600552,20171017
554,Artyom Savatyugin,8.059273346088364,20171017
209,Bruno Barrueto Deza,8.029469158017513,20171017
712,Michal Rogalski,7.999230592364562,20171017
1219,Sattawat Pongnairat,7.970901857718598,20171017
33,Kasper Lehikoinen,7.964433532256722,20171017
384,Fred Kirabo,7.945380526403895,20171017
301,Mehran Shahbazi,7.912252243125057,20171017
799,Mikhail Ghelashvili,7.8839341372050775,20171017
313,Gu Junfeng,7.881405258020575,20171017
377,Adel Hamek,7.881405258020575,20171017
1181,Mohamed Abderrahime Belarbi,7.881405258020575,20171017
284,Ali Ahmed El Khateeb,7.881405258020575,20171017
1001,Zhu Siyuan,7.881405258020575,20171017
764,Keith Mark Edison,7.856660563983986,20171017
5,Siddharth Pratap Singh,7.856157175565372,20171017
951,Murad Ali,7.845428052867067,20171017
1027,Balraj Kajla,7.8101890341405,20171017
519,Sarath Dunna,7.713697186751116,20171017
865,Chuang Jin Lei,7.701924424905371,20171017
37,Heng Lin Ngan,7.645149288770167,20171017
808,Muhammed Ali Kurt,7.63434543879163,20171017
962,Evert Sukamta,7.62537167676798,20171017
472,Sebastian Martinez Cardoso,7.59989807452898,20171017
665,Enamullah Faqiri,7.579138870599746,20171017
63,Ashish Sharma,7.573133458913848,20171017
1053,Shubham Prajapati,7.562143710171547,20171017
999,Siddharth Jakhar,7.544236046707034,20171017
629,Tri Haryanto,7.523597382074904,20171017
1279,Vincent Harris,7.523366939593359,20171017
1379,B. R. Sankeerth,7.518672404100794,20171017
1091,Lazaro Yovani Madera Padrino,7.5075095650297925,20171017
418,Dimitar Yanakiev,7.454116977526283,20171017
364,Fathurrahman Fauzi,7.447845911123203,20171017
1008,Tony Fang,7.435152180987455,20171017
1168,Joel Findlay,7.399506239053093,20171017
156,Stephan Beeharry,7.37883328391991,20171017
1199,Soroush Eskandari Vatannejad,7.3396117052432785,20171017
747,Seng Zoe Yeoh,7.330130268697271,20171017
1365,Khabir Teeluck,7.308923700364669,20171017
104,Mujittapha Umar,7.308145982874041,20171017
402,Rodolfo Ramirez,7.2980480368213705,20171017
54,Yu Jen Chi,7.239151137843674,20171017
1307,Yakob Surafel,7.198979808980713,20171017
1221,Ahmed Nibal,7.196453326538023,20171017
755,Nicolas Macias,7.112744274517558,20171017
2,Michael Opoku Baah,7.076386780056907,20171017
